 ,Area,Mean,Min,Max,SUM_Nup133_TET_01_R3D_D3D.tifnuclei_GCN4.csv
16,1.587,5761.870,4062,9247,SUM_Nup133_TET_04_R3D_D3D.tifnuclei_GCN4.csv
17,1.890,6707.789,4618,12010,SUM_Nup133_TET_04_R3D_D3D.tifnuclei_GCN4.csv
18,0.844,5035.910,3760,6867,SUM_Nup133_TET_04_R3D_D3D.tifnuclei_GCN4.csv
 ,Area,Mean,Min,Max,SUM_Nup133_TET_05_R3D_D3D.tifnuclei_GCN4.csv
1,2.314,6992.025,4685,15494,SUM_Nup133_TET_05_R3D_D3D.tifnuclei_GCN4.csv
2,2.356,5153.852,3264,10636,SUM_Nup133_TET_05_R3D_D3D.tifnuclei_GCN4.csv
3,1.705,8030.084,4265,16408,SUM_Nup133_TET_05_R3D_D3D.tifnuclei_GCN4.csv
4,1.646,10988.434,6343,22025,SUM_Nup133_TET_05_R3D_D3D.tifnuclei_GCN4.csv
5,1.789,6888.695,4293,13862,SUM_Nup133_TET_05_R3D_D3D.tifnuclei_GCN4.csv
6,1.831,5482.142,3183,9182,SUM_Nup133_TET_05_R3D_D3D.tifnuclei_GCN4.csv
7,1.747,5254.632,3677,8128,SUM_Nup133_TET_05_R3D_D3D.tifnuclei_GCN4.csv
8,2.675,8509.647,6140,20075,SUM_Nup133_TET_05_R3D_D3D.tifnuclei_GCN4.csv
9,1.562,6938.067,4436,14055,SUM_Nup133_TET_05_R3D_D3D.tifnuclei_GCN4.csv
10,1.352,7789.320,4460,17312,SUM_Nup133_TET_05_R3D_D3D.tifnuclei_GCN4.csv
11,1.638,5014.687,3670,8817,SUM_Nup133_TET_05_R3D_D3D.tifnuclei_GCN4.csv
12,1.638,7228.890,4665,12101,SUM_Nup133_TET_05_R3D_D3D.tifnuclei_GCN4.csv
13,1.293,6914.244,3842,29607,SUM_Nup133_TET_05_R3D_D3D.tifnuclei_GCN4.csv
14,1.419,5781.322,4065,8282,SUM_Nup133_TET_05_R3D_D3D.tifnuclei_GCN4.csv
15,1.978,6364.724,4177,13344,SUM_Nup133_TET_05_R3D_D3D.tifnuclei_GCN4.csv
16,2.767,6628.153,4075,13816,SUM_Nup133_TET_05_R3D_D3D.tifnuclei_GCN4.csv
17,2.830,6133.927,4468,10742,SUM_Nup133_TET_05_R3D_D3D.tifnuclei_GCN4.csv
18,2.809,9162.475,4903,18728,SUM_Nup133_TET_05_R3D_D3D.tifnuclei_GCN4.csv
 ,Area,Mean,Min,Max,SUM_Nup133_TET_06_R3D_D3D.tifnuclei_GCN4.csv
1,1.138,6306.443,4481,10555,SUM_Nup133_TET_06_R3D_D3D.tifnuclei_GCN4.csv
2,1.067,5700.961,4039,8052,SUM_Nup133_TET_06_R3D_D3D.tifnuclei_GCN4.csv
3,1.999,6096.603,4333,23845,SUM_Nup133_TET_06_R3D_D3D.tifnuclei_GCN4.csv
4,0.626,9553.342,6383,14860,SUM_Nup133_TET_06_R3D_D3D.tifnuclei_GCN4.csv
5,1.180,6121.609,4733,8635,SUM_Nup133_TET_06_R3D_D3D.tifnuclei_GCN4.csv
6,1.932,7388.635,4444,14682,SUM_Nup133_TET_06_R3D_D3D.tifnuclei_GCN4.csv
7,0.592,8787.759,5236,15138,SUM_Nup133_TET_06_R3D_D3D.tifnuclei_GCN4.csv
8,2.553,6814.424,4938,10072,SUM_Nup133_TET_06_R3D_D3D.tifnuclei_GCN4.csv
9,1.222,9573.973,5935,24351,SUM_Nup133_TET_06_R3D_D3D.tifnuclei_GCN4.csv
10,1.289,6450.502,4826,10170,SUM_Nup133_TET_06_R3D_D3D.tifnuclei_GCN4.csv
11,2.729,7215.135,5350,11655,SUM_Nup133_TET_06_R3D_D3D.tifnuclei_GCN4.csv
12,1.318,6733.197,4648,13934,SUM_Nup133_TET_06_R3D_D3D.tifnuclei_GCN4.csv
13,1.680,8803.583,4979,28990,SUM_Nup133_TET_06_R3D_D3D.tifnuclei_GCN4.csv
14,2.326,7610.339,5363,12515,SUM_Nup133_TET_06_R3D_D3D.tifnuclei_GCN4.csv
15,1.839,9862.023,7293,17892,SUM_Nup133_TET_06_R3D_D3D.tifnuclei_GCN4.csv
16,1.793,9037.630,5223,19260,SUM_Nup133_TET_06_R3D_D3D.tifnuclei_GCN4.csv
 ,Area,Mean,Min,Max,SUM_Nup133_TET_07_R3D_D3D.tifnuclei_GCN4.csv
1,1.478,2801.781,2207,3809,SUM_Nup133_TET_07_R3D_D3D.tifnuclei_GCN4.csv
2,0.819,3154.108,1787,4204,SUM_Nup133_TET_07_R3D_D3D.tifnuclei_GCN4.csv
3,2.515,2679.252,1838,5148,SUM_Nup133_TET_07_R3D_D3D.tifnuclei_GCN4.csv
4,1.659,3531.197,2097,8990,SUM_Nup133_TET_07_R3D_D3D.tifnuclei_GCN4.csv
5,2.175,3156.622,2043,5495,SUM_Nup133_TET_07_R3D_D3D.tifnuclei_GCN4.csv
6,2.200,3316.807,2365,5580,SUM_Nup133_TET_07_R3D_D3D.tifnuclei_GCN4.csv
7,1.906,4719.555,2706,8539,SUM_Nup133_TET_07_R3D_D3D.tifnuclei_GCN4.csv
8,1.528,3203.330,1985,6643,SUM_Nup133_TET_07_R3D_D3D.tifnuclei_GCN4.csv
9,1.524,4784.292,2757,9278,SUM_Nup133_TET_07_R3D_D3D.tifnuclei_GCN4.csv
10,1.604,3330.751,2253,6305,SUM_Nup133_TET_07_R3D_D3D.tifnuclei_GCN4.csv
11,3.095,3047.351,2054,6320,SUM_Nup133_TET_07_R3D_D3D.tifnuclei_GCN4.csv
12,1.621,2531.306,1981,3851,SUM_Nup133_TET_07_R3D_D3D.tifnuclei_GCN4.csv
13,2.314,3559.201,2283,7383,SUM_Nup133_TET_07_R3D_D3D.tifnuclei_GCN4.csv
14,2.591,3650.438,2142,6581,SUM_Nup133_TET_07_R3D_D3D.tifnuclei_GCN4.csv
15,1.646,2842.722,2011,4638,SUM_Nup133_TET_07_R3D_D3D.tifnuclei_GCN4.csv
16,1.864,2600.459,1677,4554,SUM_Nup133_TET_07_R3D_D3D.tifnuclei_GCN4.csv
17,0.663,2466.070,1886,3931,SUM_Nup133_TET_07_R3D_D3D.tifnuclei_GCN4.csv
18,2.288,3279.407,2273,5888,SUM_Nup133_TET_07_R3D_D3D.tifnuclei_GCN4.csv
19,1.974,2910.283,1993,4652,SUM_Nup133_TET_07_R3D_D3D.tifnuclei_GCN4.csv
20,1.025,2649.172,1909,4613,SUM_Nup133_TET_07_R3D_D3D.tifnuclei_GCN4.csv
21,1.461,2719.307,1982,4035,SUM_Nup133_TET_07_R3D_D3D.tifnuclei_GCN4.csv
22,1.621,3153.430,2554,4238,SUM_Nup133_TET_07_R3D_D3D.tifnuclei_GCN4.csv
23,1.638,3141.100,2281,5378,SUM_Nup133_TET_07_R3D_D3D.tifnuclei_GCN4.csv
24,1.356,2708.201,2131,3825,SUM_Nup133_TET_07_R3D_D3D.tifnuclei_GCN4.csv
25,1.104,2532.228,1624,6617,SUM_Nup133_TET_07_R3D_D3D.tifnuclei_GCN4.csv
26,1.432,3782.959,2454,7474,SUM_Nup133_TET_07_R3D_D3D.tifnuclei_GCN4.csv
27,2.267,3890.946,2336,7946,SUM_Nup133_TET_07_R3D_D3D.tifnuclei_GCN4.csv
 ,Area,Mean,Min,Max,SUM_Nup133_TET_08_R3D_D3D.tifnuclei_GCN4.csv
1,1.554,2882.446,2316,3883,SUM_Nup133_TET_08_R3D_D3D.tifnuclei_GCN4.csv
2,1.033,2679.846,2050,3870,SUM_Nup133_TET_08_R3D_D3D.tifnuclei_GCN4.csv
3,1.079,3176.366,2312,4569,SUM_Nup133_TET_08_R3D_D3D.tifnuclei_GCN4.csv
4,1.684,3591.873,2600,6146,SUM_Nup133_TET_08_R3D_D3D.tifnuclei_GCN4.csv
5,1.999,2850.605,2097,4769,SUM_Nup133_TET_08_R3D_D3D.tifnuclei_GCN4.csv
6,2.129,3041.890,2214,5854,SUM_Nup133_TET_08_R3D_D3D.tifnuclei_GCN4.csv
7,1.348,3157.262,2235,4317,SUM_Nup133_TET_08_R3D_D3D.tifnuclei_GCN4.csv
8,2.016,2899.835,2208,4116,SUM_Nup133_TET_08_R3D_D3D.tifnuclei_GCN4.csv
9,1.642,3295.992,2462,5519,SUM_Nup133_TET_08_R3D_D3D.tifnuclei_GCN4.csv
10,1.428,3933.676,2563,9283,SUM_Nup133_TET_08_R3D_D3D.tifnuclei_GCN4.csv
11,1.734,4120.973,3137,5956,SUM_Nup133_TET_08_R3D_D3D.tifnuclei_GCN4.csv
12,1.776,3714.768,2574,5923,SUM_Nup133_TET_08_R3D_D3D.tifnuclei_GCN4.csv
13,1.465,3447.539,2564,6014,SUM_Nup133_TET_08_R3D_D3D.tifnuclei_GCN4.csv
14,2.944,4670.685,3463,7916,SUM_Nup133_TET_08_R3D_D3D.tifnuclei_GCN4.csv
15,1.953,4095.308,2815,6295,SUM_Nup133_TET_08_R3D_D3D.tifnuclei_GCN4.csv
16,2.133,3340.734,2698,5404,SUM_Nup133_TET_08_R3D_D3D.tifnuclei_GCN4.csv
17,1.449,4380.148,2905,8094,SUM_Nup133_TET_08_R3D_D3D.tifnuclei_GCN4.csv
18,1.969,5120.190,3151,8878,SUM_Nup133_TET_08_R3D_D3D.tifnuclei_GCN4.csv
19,1.579,7305.303,3918,14028,SUM_Nup133_TET_08_R3D_D3D.tifnuclei_GCN4.csv
20,0.831,4007.707,2871,6376,SUM_Nup133_TET_08_R3D_D3D.tifnuclei_GCN4.csv
21,1.797,3446.972,2326,6512,SUM_Nup133_TET_08_R3D_D3D.tifnuclei_GCN4.csv
22,1.810,4187.868,2593,8352,SUM_Nup133_TET_08_R3D_D3D.tifnuclei_GCN4.csv
23,2.885,4030.774,2589,7113,SUM_Nup133_TET_08_R3D_D3D.tifnuclei_GCN4.csv
24,1.167,3387.982,2316,5095,SUM_Nup133_TET_08_R3D_D3D.tifnuclei_GCN4.csv
 ,Area,Mean,Min,Max,SUM_Nup133_TET_09_R3D_D3D.tifnuclei_GCN4.csv
1,2.435,19201.922,11821,43828,SUM_Nup133_TET_09_R3D_D3D.tifnuclei_GCN4.csv
2,1.906,23280.980,13443,35391,SUM_Nup133_TET_09_R3D_D3D.tifnuclei_GCN4.csv
3,1.953,21540.991,15654,34995,SUM_Nup133_TET_09_R3D_D3D.tifnuclei_GCN4.csv
4,1.638,21352.149,12273,38607,SUM_Nup133_TET_09_R3D_D3D.tifnuclei_GCN4.csv
5,1.856,17108.310,12642,31469,SUM_Nup133_TET_09_R3D_D3D.tifnuclei_GCN4.csv
6,1.671,18270.608,13015,35242,SUM_Nup133_TET_09_R3D_D3D.tifnuclei_GCN4.csv
7,1.751,21815.971,14446,67937,SUM_Nup133_TET_09_R3D_D3D.tifnuclei_GCN4.csv
8,1.978,26042.820,14254,93958,SUM_Nup133_TET_09_R3D_D3D.tifnuclei_GCN4.csv
9,2.314,21966.118,14696,34807,SUM_Nup133_TET_09_R3D_D3D.tifnuclei_GCN4.csv
10,1.978,19314.452,13202,30113,SUM_Nup133_TET_09_R3D_D3D.tifnuclei_GCN4.csv
11,3.666,24770.896,13188,61383,SUM_Nup133_TET_09_R3D_D3D.tifnuclei_GCN4.csv
12,2.402,27634.037,17244,58383,SUM_Nup133_TET_09_R3D_D3D.tifnuclei_GCN4.csv
13,2.927,23939.684,13023,56690,SUM_Nup133_TET_09_R3D_D3D.tifnuclei_GCN4.csv
14,3.065,20325.901,14620,35624,SUM_Nup133_TET_09_R3D_D3D.tifnuclei_GCN4.csv
15,0.508,23977.545,15204,57550,SUM_Nup133_TET_09_R3D_D3D.tifnuclei_GCN4.csv
16,1.927,20810.481,12163,29583,SUM_Nup133_TET_09_R3D_D3D.tifnuclei_GCN4.csv
17,1.906,41797.280,21906,88867,SUM_Nup133_TET_09_R3D_D3D.tifnuclei_GCN4.csv
18,1.172,15111.935,11770,22211,SUM_Nup133_TET_09_R3D_D3D.tifnuclei_GCN4.csv
19,1.629,22467.778,14202,58730,SUM_Nup133_TET_09_R3D_D3D.tifnuclei_GCN4.csv
20,1.222,26653.540,15790,62194,SUM_Nup133_TET_09_R3D_D3D.tifnuclei_GCN4.csv
21,1.079,14368.658,11852,21154,SUM_Nup133_TET_09_R3D_D3D.tifnuclei_GCN4.csv
22,1.625,18162.279,11681,30110,SUM_Nup133_TET_09_R3D_D3D.tifnuclei_GCN4.csv
23,1.768,20579.240,14091,32808,SUM_Nup133_TET_09_R3D_D3D.tifnuclei_GCN4.csv
24,1.289,21402.912,14168,41304,SUM_Nup133_TET_09_R3D_D3D.tifnuclei_GCN4.csv
25,1.537,17836.399,13650,23714,SUM_Nup133_TET_09_R3D_D3D.tifnuclei_GCN4.csv
 ,Area,Mean,Min,Max,SUM_Nup133_UN_01_R3D_D3D.tifnuclei_GCN4.csv
1,1.100,8925.191,5083,14152,SUM_Nup133_UN_01_R3D_D3D.tifnuclei_GCN4.csv
2,1.776,22417.631,7470,46349,SUM_Nup133_UN_01_R3D_D3D.tifnuclei_GCN4.csv
3,1.306,20405.585,12680,36752,SUM_Nup133_UN_01_R3D_D3D.tifnuclei_GCN4.csv
4,1.402,14718.560,8424,26812,SUM_Nup133_UN_01_R3D_D3D.tifnuclei_GCN4.csv
5,0.995,6545.835,4107,13065,SUM_Nup133_UN_01_R3D_D3D.tifnuclei_GCN4.csv
6,1.419,20319.183,12687,32951,SUM_Nup133_UN_01_R3D_D3D.tifnuclei_GCN4.csv
7,1.528,7640.464,4846,13210,SUM_Nup133_UN_01_R3D_D3D.tifnuclei_GCN4.csv
8,1.033,9999.260,6074,17299,SUM_Nup133_UN_01_R3D_D3D.tifnuclei_GCN4.csv
9,1.125,10914.377,6716,19260,SUM_Nup133_UN_01_R3D_D3D.tifnuclei_GCN4.csv
10,2.204,22962.154,11922,104921,SUM_Nup133_UN_01_R3D_D3D.tifnuclei_GCN4.csv
11,1.331,23748.830,12037,39709,SUM_Nup133_UN_01_R3D_D3D.tifnuclei_GCN4.csv
12,1.256,24249.191,11804,45215,SUM_Nup133_UN_01_R3D_D3D.tifnuclei_GCN4.csv
13,1.398,17852.141,8795,31270,SUM_Nup133_UN_01_R3D_D3D.tifnuclei_GCN4.csv
14,2.414,18995.727,10386,42814,SUM_Nup133_UN_01_R3D_D3D.tifnuclei_GCN4.csv
15,1.507,25717.864,14813,80750,SUM_Nup133_UN_01_R3D_D3D.tifnuclei_GCN4.csv
16,1.377,10539.689,5915,32695,SUM_Nup133_UN_01_R3D_D3D.tifnuclei_GCN4.csv
17,1.335,19527.742,10028,39532,SUM_Nup133_UN_01_R3D_D3D.tifnuclei_GCN4.csv
18,2.230,22120.861,11824,53947,SUM_Nup133_UN_01_R3D_D3D.tifnuclei_GCN4.csv
19,1.659,24149.901,12171,49009,SUM_Nup133_UN_01_R3D_D3D.tifnuclei_GCN4.csv
20,1.449,17968.267,10895,36134,SUM_Nup133_UN_01_R3D_D3D.tifnuclei_GCN4.csv
21,1.495,19250.205,10598,36017,SUM_Nup133_UN_01_R3D_D3D.tifnuclei_GCN4.csv
 ,Area,Mean,Min,Max,SUM_Nup133_UN_02_R3D_D3D.tifnuclei_GCN4.csv
1,1.306,19657.691,9861,32267,SUM_Nup133_UN_02_R3D_D3D.tifnuclei_GCN4.csv
2,1.352,12707.370,6174,22834,SUM_Nup133_UN_02_R3D_D3D.tifnuclei_GCN4.csv
3,1.235,11802.320,7249,22378,SUM_Nup133_UN_02_R3D_D3D.tifnuclei_GCN4.csv
4,1.197,6113.884,3987,9818,SUM_Nup133_UN_02_R3D_D3D.tifnuclei_GCN4.csv
5,1.528,16885.335,9653,26825,SUM_Nup133_UN_02_R3D_D3D.tifnuclei_GCN4.csv
6,2.028,11649.375,6318,21735,SUM_Nup133_UN_02_R3D_D3D.tifnuclei_GCN4.csv
7,1.033,6643.398,3823,12596,SUM_Nup133_UN_02_R3D_D3D.tifnuclei_GCN4.csv
8,1.167,10141.079,6041,20769,SUM_Nup133_UN_02_R3D_D3D.tifnuclei_GCN4.csv
9,2.990,21737.846,9241,40364,SUM_Nup133_UN_02_R3D_D3D.tifnuclei_GCN4.csv
10,1.146,21339.286,10552,35993,SUM_Nup133_UN_02_R3D_D3D.tifnuclei_GCN4.csv
11,1.369,14153.902,7277,25943,SUM_Nup133_UN_02_R3D_D3D.tifnuclei_GCN4.csv
12,2.305,13202.628,7711,29419,SUM_Nup133_UN_02_R3D_D3D.tifnuclei_GCN4.csv
13,1.298,23670.340,12228,72085,SUM_Nup133_UN_02_R3D_D3D.tifnuclei_GCN4.csv
14,1.323,20000.413,8248,40352,SUM_Nup133_UN_02_R3D_D3D.tifnuclei_GCN4.csv
15,1.281,26337.738,10933,41595,SUM_Nup133_UN_02_R3D_D3D.tifnuclei_GCN4.csv
16,1.600,17232.378,7413,29569,SUM_Nup133_UN_02_R3D_D3D.tifnuclei_GCN4.csv
17,1.394,13846.873,7075,39883,SUM_Nup133_UN_02_R3D_D3D.tifnuclei_GCN4.csv
18,0.579,28402.558,18637,37140,SUM_Nup133_UN_02_R3D_D3D.tifnuclei_GCN4.csv
19,2.188,8788.083,5228,17343,SUM_Nup133_UN_02_R3D_D3D.tifnuclei_GCN4.csv
20,1.810,10208.174,6050,20815,SUM_Nup133_UN_02_R3D_D3D.tifnuclei_GCN4.csv
21,1.277,7605.553,5077,14443,SUM_Nup133_UN_02_R3D_D3D.tifnuclei_GCN4.csv
22,1.583,13361.098,7272,32979,SUM_Nup133_UN_02_R3D_D3D.tifnuclei_GCN4.csv
23,2.116,16325.480,10854,50032,SUM_Nup133_UN_02_R3D_D3D.tifnuclei_GCN4.csv
24,1.268,8338.517,5244,15760,SUM_Nup133_UN_02_R3D_D3D.tifnuclei_GCN4.csv
25,2.574,9934.821,6779,26421,SUM_Nup133_UN_02_R3D_D3D.tifnuclei_GCN4.csv
26,1.335,15763.230,8751,32750,SUM_Nup133_UN_02_R3D_D3D.tifnuclei_GCN4.csv
27,2.557,11310.934,6989,23530,SUM_Nup133_UN_02_R3D_D3D.tifnuclei_GCN4.csv
 ,Area,Mean,Min,Max,SUM_Nup133_UN_03_R3D_D3D.tifnuclei_GCN4.csv
1,0.936,15456.395,9155,23924,SUM_Nup133_UN_03_R3D_D3D.tifnuclei_GCN4.csv
2,0.836,7709.935,5576,16912,SUM_Nup133_UN_03_R3D_D3D.tifnuclei_GCN4.csv
3,0.999,10659.550,5107,18306,SUM_Nup133_UN_03_R3D_D3D.tifnuclei_GCN4.csv
4,1.054,16930.637,9722,25809,SUM_Nup133_UN_03_R3D_D3D.tifnuclei_GCN4.csv
5,1.902,16572.620,9345,28461,SUM_Nup133_UN_03_R3D_D3D.tifnuclei_GCN4.csv
