 ,Area,Mean,Min,Max,SUM_Nup133_TET_01_R3D_D3D.tifnuclei.csv
2,1.193,50802.757,28416,75428,SUM_Nup133_TET_03_R3D_D3D.tifnuclei.csv
3,1.486,50841.681,28310,75680,SUM_Nup133_TET_03_R3D_D3D.tifnuclei.csv
4,1.587,35530.717,28316,54820,SUM_Nup133_TET_03_R3D_D3D.tifnuclei.csv
5,1.335,49377.365,28601,80666,SUM_Nup133_TET_03_R3D_D3D.tifnuclei.csv
6,0.617,35669.769,28485,54615,SUM_Nup133_TET_03_R3D_D3D.tifnuclei.csv
7,1.549,52664.894,28343,80167,SUM_Nup133_TET_03_R3D_D3D.tifnuclei.csv
8,1.407,49920.710,28314,78542,SUM_Nup133_TET_03_R3D_D3D.tifnuclei.csv
9,2.121,58747.610,28403,101044,SUM_Nup133_TET_03_R3D_D3D.tifnuclei.csv
10,1.386,59382.209,28373,118340,SUM_Nup133_TET_03_R3D_D3D.tifnuclei.csv
11,1.873,42726.240,28719,66426,SUM_Nup133_TET_03_R3D_D3D.tifnuclei.csv
12,1.491,42768.000,28463,59648,SUM_Nup133_TET_03_R3D_D3D.tifnuclei.csv
13,1.356,39013.464,28388,52765,SUM_Nup133_TET_03_R3D_D3D.tifnuclei.csv
14,1.117,75024.180,28645,159171,SUM_Nup133_TET_03_R3D_D3D.tifnuclei.csv
15,2.566,58239.486,28345,128602,SUM_Nup133_TET_03_R3D_D3D.tifnuclei.csv
16,1.394,46385.310,28350,71095,SUM_Nup133_TET_03_R3D_D3D.tifnuclei.csv
17,1.869,56776.894,28452,102714,SUM_Nup133_TET_03_R3D_D3D.tifnuclei.csv
18,1.390,50056.139,28425,75380,SUM_Nup133_TET_03_R3D_D3D.tifnuclei.csv
19,1.394,43927.696,28395,61769,SUM_Nup133_TET_03_R3D_D3D.tifnuclei.csv
20,1.524,47005.267,28385,75565,SUM_Nup133_TET_03_R3D_D3D.tifnuclei.csv
21,2.024,65725.668,28381,116064,SUM_Nup133_TET_03_R3D_D3D.tifnuclei.csv
22,1.671,52873.329,28454,82974,SUM_Nup133_TET_03_R3D_D3D.tifnuclei.csv
23,0.857,44832.750,28401,70655,SUM_Nup133_TET_03_R3D_D3D.tifnuclei.csv
 ,Area,Mean,Min,Max,SUM_Nup133_TET_04_R3D_D3D.tifnuclei.csv
1,1.608,63814.911,39319,90443,SUM_Nup133_TET_04_R3D_D3D.tifnuclei.csv
2,1.667,65816.854,39220,99575,SUM_Nup133_TET_04_R3D_D3D.tifnuclei.csv
3,1.583,82320.775,39325,132788,SUM_Nup133_TET_04_R3D_D3D.tifnuclei.csv
4,1.785,65175.925,39338,90138,SUM_Nup133_TET_04_R3D_D3D.tifnuclei.csv
5,1.415,75473.208,39274,116816,SUM_Nup133_TET_04_R3D_D3D.tifnuclei.csv
6,2.007,66714.360,39666,102308,SUM_Nup133_TET_04_R3D_D3D.tifnuclei.csv
7,0.886,59180.024,39298,77413,SUM_Nup133_TET_04_R3D_D3D.tifnuclei.csv
8,1.197,129758.972,39258,222667,SUM_Nup133_TET_04_R3D_D3D.tifnuclei.csv
9,1.730,84531.704,39195,137543,SUM_Nup133_TET_04_R3D_D3D.tifnuclei.csv
10,1.659,73613.780,39223,116205,SUM_Nup133_TET_04_R3D_D3D.tifnuclei.csv
11,1.764,70282.833,39495,107474,SUM_Nup133_TET_04_R3D_D3D.tifnuclei.csv
12,1.016,58099.884,39246,90042,SUM_Nup133_TET_04_R3D_D3D.tifnuclei.csv
13,0.647,45198.091,39208,53661,SUM_Nup133_TET_04_R3D_D3D.tifnuclei.csv
14,1.936,74252.126,39556,116491,SUM_Nup133_TET_04_R3D_D3D.tifnuclei.csv
15,0.928,53296.041,39229,70374,SUM_Nup133_TET_04_R3D_D3D.tifnuclei.csv
16,1.587,79209.116,39196,139525,SUM_Nup133_TET_04_R3D_D3D.tifnuclei.csv
17,1.890,67254.498,39321,106280,SUM_Nup133_TET_04_R3D_D3D.tifnuclei.csv
18,0.844,60780.109,39308,91782,SUM_Nup133_TET_04_R3D_D3D.tifnuclei.csv
 ,Area,Mean,Min,Max,SUM_Nup133_TET_05_R3D_D3D.tifnuclei.csv
1,2.314,109299.579,53849,188977,SUM_Nup133_TET_05_R3D_D3D.tifnuclei.csv
2,2.356,118372.738,55697,221221,SUM_Nup133_TET_05_R3D_D3D.tifnuclei.csv
3,1.705,105082.227,55656,175992,SUM_Nup133_TET_05_R3D_D3D.tifnuclei.csv
4,1.646,90733.895,55754,135673,SUM_Nup133_TET_05_R3D_D3D.tifnuclei.csv
5,1.789,86408.012,54772,146653,SUM_Nup133_TET_05_R3D_D3D.tifnuclei.csv
6,1.831,106345.654,55818,202403,SUM_Nup133_TET_05_R3D_D3D.tifnuclei.csv
7,1.747,84592.601,55660,178856,SUM_Nup133_TET_05_R3D_D3D.tifnuclei.csv
8,2.675,120204.786,56003,226328,SUM_Nup133_TET_05_R3D_D3D.tifnuclei.csv
9,1.562,90935.110,55747,162270,SUM_Nup133_TET_05_R3D_D3D.tifnuclei.csv
10,1.352,100123.916,56032,152863,SUM_Nup133_TET_05_R3D_D3D.tifnuclei.csv
11,1.638,90562.592,55897,162701,SUM_Nup133_TET_05_R3D_D3D.tifnuclei.csv
12,1.638,94560.700,55655,148571,SUM_Nup133_TET_05_R3D_D3D.tifnuclei.csv
13,1.293,113644.766,55683,197604,SUM_Nup133_TET_05_R3D_D3D.tifnuclei.csv
14,1.419,106090.041,55705,182815,SUM_Nup133_TET_05_R3D_D3D.tifnuclei.csv
15,1.978,97693.520,55790,238037,SUM_Nup133_TET_05_R3D_D3D.tifnuclei.csv
16,2.767,106335.965,55831,184654,SUM_Nup133_TET_05_R3D_D3D.tifnuclei.csv
17,2.830,95222.111,55693,158290,SUM_Nup133_TET_05_R3D_D3D.tifnuclei.csv
18,2.809,82417.487,46945,146283,SUM_Nup133_TET_05_R3D_D3D.tifnuclei.csv
 ,Area,Mean,Min,Max,SUM_Nup133_TET_06_R3D_D3D.tifnuclei.csv
1,1.138,43875.092,29358,57592,SUM_Nup133_TET_06_R3D_D3D.tifnuclei.csv
2,1.067,76942.583,29531,144015,SUM_Nup133_TET_06_R3D_D3D.tifnuclei.csv
3,1.999,51545.821,29188,83851,SUM_Nup133_TET_06_R3D_D3D.tifnuclei.csv
4,0.626,54052.054,29211,123327,SUM_Nup133_TET_06_R3D_D3D.tifnuclei.csv
5,1.180,50769.637,29251,76461,SUM_Nup133_TET_06_R3D_D3D.tifnuclei.csv
6,1.932,53223.839,29232,86427,SUM_Nup133_TET_06_R3D_D3D.tifnuclei.csv
7,0.592,44893.220,29464,68095,SUM_Nup133_TET_06_R3D_D3D.tifnuclei.csv
8,2.553,53320.197,29297,94854,SUM_Nup133_TET_06_R3D_D3D.tifnuclei.csv
9,1.222,49000.082,29263,76584,SUM_Nup133_TET_06_R3D_D3D.tifnuclei.csv
10,1.289,52415.306,29200,86121,SUM_Nup133_TET_06_R3D_D3D.tifnuclei.csv
11,2.729,57534.852,29278,96282,SUM_Nup133_TET_06_R3D_D3D.tifnuclei.csv
12,1.318,53273.908,29255,80609,SUM_Nup133_TET_06_R3D_D3D.tifnuclei.csv
13,1.680,49493.777,26942,90453,SUM_Nup133_TET_06_R3D_D3D.tifnuclei.csv
14,2.326,52198.377,29251,80415,SUM_Nup133_TET_06_R3D_D3D.tifnuclei.csv
15,1.839,52253.845,29355,85674,SUM_Nup133_TET_06_R3D_D3D.tifnuclei.csv
16,1.793,50592.326,29188,82730,SUM_Nup133_TET_06_R3D_D3D.tifnuclei.csv
 ,Area,Mean,Min,Max,SUM_Nup133_TET_07_R3D_D3D.tifnuclei.csv
1,1.478,38497.571,26106,68621,SUM_Nup133_TET_07_R3D_D3D.tifnuclei.csv
2,0.819,32856.379,26098,60665,SUM_Nup133_TET_07_R3D_D3D.tifnuclei.csv
3,2.515,53905.736,26124,103458,SUM_Nup133_TET_07_R3D_D3D.tifnuclei.csv
4,1.659,48621.704,26366,68281,SUM_Nup133_TET_07_R3D_D3D.tifnuclei.csv
5,2.175,41118.189,26121,84379,SUM_Nup133_TET_07_R3D_D3D.tifnuclei.csv
6,2.200,44588.443,26121,71351,SUM_Nup133_TET_07_R3D_D3D.tifnuclei.csv
7,1.906,51528.714,26095,78883,SUM_Nup133_TET_07_R3D_D3D.tifnuclei.csv
8,1.528,43768.753,26220,66853,SUM_Nup133_TET_07_R3D_D3D.tifnuclei.csv
9,1.524,37855.234,26122,53588,SUM_Nup133_TET_07_R3D_D3D.tifnuclei.csv
10,1.604,43411.864,26148,60950,SUM_Nup133_TET_07_R3D_D3D.tifnuclei.csv
11,3.095,46711.687,26093,88859,SUM_Nup133_TET_07_R3D_D3D.tifnuclei.csv
12,1.621,56832.964,26178,107792,SUM_Nup133_TET_07_R3D_D3D.tifnuclei.csv
13,2.314,46668.062,26103,78997,SUM_Nup133_TET_07_R3D_D3D.tifnuclei.csv
14,2.591,45739.660,24031,98865,SUM_Nup133_TET_07_R3D_D3D.tifnuclei.csv
15,1.646,46349.852,26342,74115,SUM_Nup133_TET_07_R3D_D3D.tifnuclei.csv
16,1.864,53082.117,22273,94128,SUM_Nup133_TET_07_R3D_D3D.tifnuclei.csv
17,0.663,34579.646,26186,52751,SUM_Nup133_TET_07_R3D_D3D.tifnuclei.csv
18,2.288,58446.088,25779,120088,SUM_Nup133_TET_07_R3D_D3D.tifnuclei.csv
19,1.974,47857.174,26119,84162,SUM_Nup133_TET_07_R3D_D3D.tifnuclei.csv
20,1.025,44261.324,26275,90561,SUM_Nup133_TET_07_R3D_D3D.tifnuclei.csv
21,1.461,40258.218,26154,57793,SUM_Nup133_TET_07_R3D_D3D.tifnuclei.csv
22,1.621,34788.282,26100,53327,SUM_Nup133_TET_07_R3D_D3D.tifnuclei.csv
23,1.638,44930.567,26155,70360,SUM_Nup133_TET_07_R3D_D3D.tifnuclei.csv
24,1.356,42815.130,26135,66440,SUM_Nup133_TET_07_R3D_D3D.tifnuclei.csv
25,1.104,47583.650,26118,82816,SUM_Nup133_TET_07_R3D_D3D.tifnuclei.csv
26,1.432,53118.264,26086,103864,SUM_Nup133_TET_07_R3D_D3D.tifnuclei.csv
27,2.267,49985.420,26116,101332,SUM_Nup133_TET_07_R3D_D3D.tifnuclei.csv
 ,Area,Mean,Min,Max,SUM_Nup133_TET_08_R3D_D3D.tifnuclei.csv
1,1.554,47584.216,26836,71520,SUM_Nup133_TET_08_R3D_D3D.tifnuclei.csv
2,1.033,36612.008,26782,48446,SUM_Nup133_TET_08_R3D_D3D.tifnuclei.csv
3,1.079,41257.735,26768,63703,SUM_Nup133_TET_08_R3D_D3D.tifnuclei.csv
4,1.684,45901.469,26775,71512,SUM_Nup133_TET_08_R3D_D3D.tifnuclei.csv
5,1.999,58898.391,26832,107240,SUM_Nup133_TET_08_R3D_D3D.tifnuclei.csv
6,2.129,43572.028,26779,74396,SUM_Nup133_TET_08_R3D_D3D.tifnuclei.csv
7,1.348,43491.788,26768,73097,SUM_Nup133_TET_08_R3D_D3D.tifnuclei.csv
8,2.016,42798.144,26790,65663,SUM_Nup133_TET_08_R3D_D3D.tifnuclei.csv
9,1.642,42788.238,27029,58268,SUM_Nup133_TET_08_R3D_D3D.tifnuclei.csv
10,1.428,48893.694,26768,89103,SUM_Nup133_TET_08_R3D_D3D.tifnuclei.csv
11,1.734,51158.545,26804,92591,SUM_Nup133_TET_08_R3D_D3D.tifnuclei.csv
12,1.776,40337.657,26910,57479,SUM_Nup133_TET_08_R3D_D3D.tifnuclei.csv
13,1.465,42073.871,26827,74438,SUM_Nup133_TET_08_R3D_D3D.tifnuclei.csv
14,2.944,54374.398,26866,86103,SUM_Nup133_TET_08_R3D_D3D.tifnuclei.csv
15,1.953,37264.856,26994,55625,SUM_Nup133_TET_08_R3D_D3D.tifnuclei.csv
16,2.133,57520.470,26810,98072,SUM_Nup133_TET_08_R3D_D3D.tifnuclei.csv
17,1.449,53232.316,26768,102647,SUM_Nup133_TET_08_R3D_D3D.tifnuclei.csv
18,1.969,50015.896,26877,108142,SUM_Nup133_TET_08_R3D_D3D.tifnuclei.csv
19,1.579,63843.856,26849,140522,SUM_Nup133_TET_08_R3D_D3D.tifnuclei.csv
20,0.831,35457.172,26763,54692,SUM_Nup133_TET_08_R3D_D3D.tifnuclei.csv
21,1.797,44668.974,26820,68428,SUM_Nup133_TET_08_R3D_D3D.tifnuclei.csv
22,1.810,39857.109,27143,54217,SUM_Nup133_TET_08_R3D_D3D.tifnuclei.csv
23,2.885,58504.405,26788,109646,SUM_Nup133_TET_08_R3D_D3D.tifnuclei.csv
24,1.167,39284.004,26827,57120,SUM_Nup133_TET_08_R3D_D3D.tifnuclei.csv
 ,Area,Mean,Min,Max,SUM_Nup133_TET_09_R3D_D3D.tifnuclei.csv
1,2.435,95905.397,51103,166461,SUM_Nup133_TET_09_R3D_D3D.tifnuclei.csv
2,1.906,83885.421,51138,162391,SUM_Nup133_TET_09_R3D_D3D.tifnuclei.csv
3,1.953,99964.342,51262,155331,SUM_Nup133_TET_09_R3D_D3D.tifnuclei.csv
4,1.638,82817.867,51113,134348,SUM_Nup133_TET_09_R3D_D3D.tifnuclei.csv
5,1.856,85623.952,51323,123375,SUM_Nup133_TET_09_R3D_D3D.tifnuclei.csv
6,1.671,85520.085,51109,156439,SUM_Nup133_TET_09_R3D_D3D.tifnuclei.csv
7,1.751,89893.645,51201,152976,SUM_Nup133_TET_09_R3D_D3D.tifnuclei.csv
8,1.978,70925.130,51110,94644,SUM_Nup133_TET_09_R3D_D3D.tifnuclei.csv
9,2.314,85523.915,51492,143755,SUM_Nup133_TET_09_R3D_D3D.tifnuclei.csv
10,1.978,92583.563,51061,176727,SUM_Nup133_TET_09_R3D_D3D.tifnuclei.csv
11,3.666,108276.824,51087,225533,SUM_Nup133_TET_09_R3D_D3D.tifnuclei.csv
12,2.402,110922.479,51117,223438,SUM_Nup133_TET_09_R3D_D3D.tifnuclei.csv
13,2.927,88811.023,51110,151968,SUM_Nup133_TET_09_R3D_D3D.tifnuclei.csv
14,3.065,108952.619,51118,242994,SUM_Nup133_TET_09_R3D_D3D.tifnuclei.csv
15,0.508,70168.793,51085,110807,SUM_Nup133_TET_09_R3D_D3D.tifnuclei.csv
16,1.927,70849.767,51131,106090,SUM_Nup133_TET_09_R3D_D3D.tifnuclei.csv
17,1.906,90829.064,51113,147353,SUM_Nup133_TET_09_R3D_D3D.tifnuclei.csv
18,1.172,66429.405,51081,89717,SUM_Nup133_TET_09_R3D_D3D.tifnuclei.csv
19,1.629,92277.485,51144,189897,SUM_Nup133_TET_09_R3D_D3D.tifnuclei.csv
20,1.222,92232.794,51182,158200,SUM_Nup133_TET_09_R3D_D3D.tifnuclei.csv
21,1.079,75301.479,51158,102856,SUM_Nup133_TET_09_R3D_D3D.tifnuclei.csv
22,1.625,87304.008,51119,145566,SUM_Nup133_TET_09_R3D_D3D.tifnuclei.csv
23,1.768,85471.672,51766,144617,SUM_Nup133_TET_09_R3D_D3D.tifnuclei.csv
24,1.289,101593.384,51149,175304,SUM_Nup133_TET_09_R3D_D3D.tifnuclei.csv
25,1.537,91156.874,51222,131718,SUM_Nup133_TET_09_R3D_D3D.tifnuclei.csv
 ,Area,Mean,Min,Max,SUM_Nup133_UN_01_R3D_D3D.tifnuclei.csv
1,1.100,56262.214,37192,74894,SUM_Nup133_UN_01_R3D_D3D.tifnuclei.csv
2,1.776,62808.499,37224,95093,SUM_Nup133_UN_01_R3D_D3D.tifnuclei.csv
3,1.306,62108.286,37218,96077,SUM_Nup133_UN_01_R3D_D3D.tifnuclei.csv
4,1.402,66268.811,37208,98295,SUM_Nup133_UN_01_R3D_D3D.tifnuclei.csv
5,0.995,51316.755,37242,69907,SUM_Nup133_UN_01_R3D_D3D.tifnuclei.csv
6,1.419,62194.266,37281,93690,SUM_Nup133_UN_01_R3D_D3D.tifnuclei.csv
7,1.528,58450.393,37214,88233,SUM_Nup133_UN_01_R3D_D3D.tifnuclei.csv
8,1.033,52901.732,37569,80786,SUM_Nup133_UN_01_R3D_D3D.tifnuclei.csv
9,1.125,68273.545,37215,99219,SUM_Nup133_UN_01_R3D_D3D.tifnuclei.csv
10,2.204,97238.126,37372,178862,SUM_Nup133_UN_01_R3D_D3D.tifnuclei.csv
11,1.331,69666.243,37401,105654,SUM_Nup133_UN_01_R3D_D3D.tifnuclei.csv
12,1.256,71151.117,37227,114164,SUM_Nup133_UN_01_R3D_D3D.tifnuclei.csv
13,1.398,60780.664,37256,89466,SUM_Nup133_UN_01_R3D_D3D.tifnuclei.csv
14,2.414,80904.250,37191,138035,SUM_Nup133_UN_01_R3D_D3D.tifnuclei.csv
15,1.507,69019.869,37219,117956,SUM_Nup133_UN_01_R3D_D3D.tifnuclei.csv
16,1.377,57971.143,37294,79982,SUM_Nup133_UN_01_R3D_D3D.tifnuclei.csv
17,1.335,77449.601,37195,143922,SUM_Nup133_UN_01_R3D_D3D.tifnuclei.csv
18,2.230,76353.731,34836,131572,SUM_Nup133_UN_01_R3D_D3D.tifnuclei.csv
19,1.659,61478.529,37196,87460,SUM_Nup133_UN_01_R3D_D3D.tifnuclei.csv
20,1.449,71779.017,37378,103302,SUM_Nup133_UN_01_R3D_D3D.tifnuclei.csv
21,1.495,67213.770,37249,109455,SUM_Nup133_UN_01_R3D_D3D.tifnuclei.csv
 ,Area,Mean,Min,Max,SUM_Nup133_UN_02_R3D_D3D.tifnuclei.csv
1,1.306,127346.084,72104,187979,SUM_Nup133_UN_02_R3D_D3D.tifnuclei.csv
2,1.352,108646.373,72210,155228,SUM_Nup133_UN_02_R3D_D3D.tifnuclei.csv
3,1.235,122829.153,72131,176289,SUM_Nup133_UN_02_R3D_D3D.tifnuclei.csv
4,1.197,113450.968,72216,163122,SUM_Nup133_UN_02_R3D_D3D.tifnuclei.csv
5,1.528,134359.997,72201,220890,SUM_Nup133_UN_02_R3D_D3D.tifnuclei.csv
6,2.028,169441.876,72439,295187,SUM_Nup133_UN_02_R3D_D3D.tifnuclei.csv
7,1.033,101659.545,72158,148139,SUM_Nup133_UN_02_R3D_D3D.tifnuclei.csv
8,1.167,113060.050,72794,161086,SUM_Nup133_UN_02_R3D_D3D.tifnuclei.csv
9,2.990,141717.322,72192,282061,SUM_Nup133_UN_02_R3D_D3D.tifnuclei.csv
10,1.146,133338.868,72334,212049,SUM_Nup133_UN_02_R3D_D3D.tifnuclei.csv
11,1.369,126720.408,72348,179268,SUM_Nup133_UN_02_R3D_D3D.tifnuclei.csv
12,2.305,158402.840,72115,255590,SUM_Nup133_UN_02_R3D_D3D.tifnuclei.csv
13,1.298,135771.754,72107,207921,SUM_Nup133_UN_02_R3D_D3D.tifnuclei.csv
14,1.323,155726.752,72750,256482,SUM_Nup133_UN_02_R3D_D3D.tifnuclei.csv
15,1.281,152872.980,72350,250524,SUM_Nup133_UN_02_R3D_D3D.tifnuclei.csv
16,1.600,131161.276,72360,225851,SUM_Nup133_UN_02_R3D_D3D.tifnuclei.csv
17,1.394,118213.834,72113,174739,SUM_Nup133_UN_02_R3D_D3D.tifnuclei.csv
18,0.579,93853.993,72158,152703,SUM_Nup133_UN_02_R3D_D3D.tifnuclei.csv
19,2.188,157829.526,72210,278086,SUM_Nup133_UN_02_R3D_D3D.tifnuclei.csv
20,1.810,133310.002,72180,205931,SUM_Nup133_UN_02_R3D_D3D.tifnuclei.csv
21,1.277,93697.487,72213,114048,SUM_Nup133_UN_02_R3D_D3D.tifnuclei.csv
22,1.583,136177.252,72456,234027,SUM_Nup133_UN_02_R3D_D3D.tifnuclei.csv
23,2.116,133578.782,72253,212820,SUM_Nup133_UN_02_R3D_D3D.tifnuclei.csv
24,1.268,114788.801,72455,166940,SUM_Nup133_UN_02_R3D_D3D.tifnuclei.csv
25,2.574,178396.254,72161,326826,SUM_Nup133_UN_02_R3D_D3D.tifnuclei.csv
26,1.335,102036.022,72109,145532,SUM_Nup133_UN_02_R3D_D3D.tifnuclei.csv
27,2.557,119825.409,72403,204026,SUM_Nup133_UN_02_R3D_D3D.tifnuclei.csv
 ,Area,Mean,Min,Max,SUM_Nup133_UN_03_R3D_D3D.tifnuclei.csv
1,0.936,49698.013,39488,60465,SUM_Nup133_UN_03_R3D_D3D.tifnuclei.csv
2,0.836,63396.146,39737,105738,SUM_Nup133_UN_03_R3D_D3D.tifnuclei.csv
3,0.999,73248.655,39847,125282,SUM_Nup133_UN_03_R3D_D3D.tifnuclei.csv
4,1.054,73601.805,39479,108135,SUM_Nup133_UN_03_R3D_D3D.tifnuclei.csv
5,1.902,79784.770,39474,128674,SUM_Nup133_UN_03_R3D_D3D.tifnuclei.csv
6,0.714,53447.676,39408,69938,SUM_Nup133_UN_03_R3D_D3D.tifnuclei.csv
7,1.121,56222.929,39735,73694,SUM_Nup133_UN_03_R3D_D3D.tifnuclei.csv
8,0.827,56938.279,39492,77432,SUM_Nup133_UN_03_R3D_D3D.tifnuclei.csv
9,1.810,82138.930,39463,140951,SUM_Nup133_UN_03_R3D_D3D.tifnuclei.csv
10,1.323,64449.479,39465,88234,SUM_Nup133_UN_03_R3D_D3D.tifnuclei.csv
11,0.760,52606.807,39401,88427,SUM_Nup133_UN_03_R3D_D3D.tifnuclei.csv
12,1.256,76590.472,39491,123378,SUM_Nup133_UN_03_R3D_D3D.tifnuclei.csv
13,1.667,70930.962,39540,109433,SUM_Nup133_UN_03_R3D_D3D.tifnuclei.csv
14,1.390,72360.523,39526,112033,SUM_Nup133_UN_03_R3D_D3D.tifnuclei.csv
15,2.213,87004.404,39740,157381,SUM_Nup133_UN_03_R3D_D3D.tifnuclei.csv
16,1.327,45218.399,39421,58307,SUM_Nup133_UN_03_R3D_D3D.tifnuclei.csv
17,1.457,70646.971,39492,118054,SUM_Nup133_UN_03_R3D_D3D.tifnuclei.csv
18,1.457,77305.865,39485,120130,SUM_Nup133_UN_03_R3D_D3D.tifnuclei.csv
19,2.112,82581.386,39860,144200,SUM_Nup133_UN_03_R3D_D3D.tifnuclei.csv
20,1.915,97896.134,39462,185354,SUM_Nup133_UN_03_R3D_D3D.tifnuclei.csv
21,1.394,71028.286,39428,115931,SUM_Nup133_UN_03_R3D_D3D.tifnuclei.csv
22,1.193,56142.130,39397,75743,SUM_Nup133_UN_03_R3D_D3D.tifnuclei.csv
23,1.759,88019.468,39422,174430,SUM_Nup133_UN_03_R3D_D3D.tifnuclei.csv
24,1.125,85378.903,39509,137264,SUM_Nup133_UN_03_R3D_D3D.tifnuclei.csv
25,1.298,74100.608,39408,121664,SUM_Nup133_UN_03_R3D_D3D.tifnuclei.csv
26,1.117,82158.669,39555,129773,SUM_Nup133_UN_03_R3D_D3D.tifnuclei.csv
27,1.377,73467.604,39623,109755,SUM_Nup133_UN_03_R3D_D3D.tifnuclei.csv
28,1.533,63883.197,39396,99969,SUM_Nup133_UN_03_R3D_D3D.tifnuclei.csv
29,0.983,69106.872,39509,97360,SUM_Nup133_UN_03_R3D_D3D.tifnuclei.csv
30,1.298,68237.042,39776,100094,SUM_Nup133_UN_03_R3D_D3D.tifnuclei.csv
31,1.226,66085.942,39958,93991,SUM_Nup133_UN_03_R3D_D3D.tifnuclei.csv
 ,Area,Mean,Min,Max,SUM_Nup133_UN_04_R3D_D3D.tifnuclei.csv
